รายวิชาเพิ่มเติม ม.2  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,อังคาร,,พุธ,,พฤหัสบดี,,ศุกร์,
พ22251,เทคนิคการเล่นฟุตบอล ,1,2,"ศึกษาการเล่นกีฬาฟุตบอล การฝึกปฏิบัติจริงในการเล่นฟุตบอล เทคนิคการเล่นฟุตบอล โดยใช้การฝึกในรูปแบบต่างๆ เพื่อ
การเป็นนักฟุตบอลที่ดี มีความรู้ความเข้าใจและเห็นคุณค่าของการเล่นฟุตบอล และสามารถนาความรู้ไปปฏิบัติและประยุกต์ใช้ในชีวิตประจำวันได้",อ.พชรพล,1,25,-,✔,✔,,,,,,
พ22233,ตะกร้อเบื้องต้น,1,2,ศึกษาประวัติ กติกา และมารยาทในการเล่นกีฬาเซปักตะกร้อ ฝึกปฏิบัติทักษะพื้นฐาน ได้แก่ การสร้างความคุ้นเคยกับอุปกรณ์ การเดาะลูก การเตะด้วยข้างเท้าด้านใน หลังเท้า เข่า และศีรษะ รวมถึงทักษะการเสิร์ฟ การตั้งลูก การทำแต้ม และการเล่นเป็นทีม เพื่อพัฒนาสมรรถภาพทางกาย ส่งเสริมความสามัคคี และปลูกฝังการมีน้ำใจนักกีฬา,อ.ธนวิทย์,1,18,-,,,✔,✔,,,,
กลุ่มสาระการเรียนรู้ศิลปะ,,,,,,,,,,,,,,,,
ศ22216,สนุกกับดนตรีไทย,1,2,"ศึกษาหลักและวิธีการปฏิบัติเครื่องดนตรีไทยที่นักเรียนสนใจ รวมถึงเนื้อหาที่เกี่ยวข้อง เพื่อให้นักเรียนมีความรู้ความเข้าใจ
ในการปฏิบัติทักษะเครื่องดนตรีไทยได้อย่างถูกต้อง รวมถึง
หลักการปฏิบัติทักษะขับร้องและเครื่องดนตรีไทยเบื้องต้นในบทเพลงสองชั้น/ชั้นเดียว และการทำกิจกรรมดนตรีร่วมกันในชั้นเรียน",อ.สโรชา,1,20,-,,,,,✔,✔,,
ศ22224,ศิลปะสร้างสรรค์,1,2,"ศึกษาพื้นฐานการสร้างสรรค์งานทัศนศิลป์ การออกแบบ 
การประยุกต์ใช้ศิลปะแขนงต่าง ๆ รวมถึงวัสดุ อุปกรณ์ และเทคนิคทางศิลปะ พัฒนากระบวนการคิดวิเคราะห์และสร้างสรรค์อย่างเป็นระบบ สื่อสารผ่านผลงานได้อย่างเหมาะสม ใช้เทคโนโลยีและตัดสินใจได้ดี เรียนรู้ด้วยตนเอง ทำงานร่วมกับผู้อื่นอย่างมีความสุข พร้อมปลูกฝังวินัย ใฝ่เรียนรู้ ซื่อสัตย์ และมีจิตสาธารณะ",อ.อัฐพล,1,20,"มีค่าใช้จ่ายสำหรับอุปกรณ์ไม่เกิน 500 บาท, 
มีการทัศนศึกษาภายนอกโรงเรียน",✔,✔,,,,,,
ศ20218,ศิลปะการปั้นสร้างสรรค์,1,2,"ศึกษาพื้นฐานการออกแบบและประติมากรรม พร้อมฝึกทักษะจริง เช่น การวาดภาพ ลงสี ออกแบบ และเทคนิคการปั้น
ขั้นพื้นฐาน เพื่อสร้างสรรค์ผลงานตามความถนัด ผ่านกระบวนการคิด วางแผน และลงมือปฏิบัติอย่างเป็นขั้นตอน สามารถถ่ายทอดความหมายจากผลงานอย่างมีจินตนาการ เชื่อมโยงความรู้กับศาสตร์อื่น  พัฒนาความรับผิดชอบ
ความมั่นใจ และเจตคติที่ดีต่อศิลปะ",อ.ดร.อติญา,1,8,"มีค่าใช้จ่ายสำหรับอุปกรณ์ไม่เกิน 500 บาท, 
มีการทัศนศึกษาภายนอกโรงเรียน",,,,,✔,✔,,
ศ20231,ปฏิบัติการวงโยธวาทิตขั้นกลาง,1,2,ศึกษาการบรรเลงเครื่องดนตรีที่ใช้ในวงโยธวาทิตของโรงเรียน ในระดับมาตรฐานสากล,อ.สุปัฏฐ์,1,10,"เฉพาะนักเรียนวงโยธวาทิตที่ผ่าน
การคัดเลือก และเรียนรวม
ม.1-3",,,,,✔,✔,,
ศ22227,นาฏศิลป์ไทยสี่ภาค,1,2,ศึกษาประวัติความเป็นมา เอกลักษณ์ รูปแบบการแสดง เครื่องแต่งกาย ดนตรีประกอบ และบริบททางวัฒนธรรมเกี่ยวกับนาฏศิลป์ไทยในแต่ละภูมิภาค ,อ.อภิสรา,1,25,-,,,✔,✔,,,,
ศ20207,ทักษะการเต้นบัลเลต์พื้นฐาน 1,1,2,"ศึกษาพื้นฐานการเต้นบัลเลต์ซึ่งเป็นพื้นฐานที่ดีในการพัฒนาไปสู่การเต้นในรูปแบบอื่นๆ ฝึกฝนทักษะพื้นฐานในการเต้นบัลเลต์ (ระดับต้น) การจัดระเบียบร่างกาย เรียนรู้ศัพท์เทคนิคทาง
บัลเลต์",อ.ธนิฏฐา,1,8,"เรียนรวม
ม.1-3",,,,,✔,✔,,
กลุ่มสาระการเรียนรู้การงานอาชีพ,,,,,,,,,,,,,,,,
ง22267,รัก(ษ์)ไทย 2,1,2,"ศึกษางานประดิษฐ์แบบไทย โดยให้ผู้เรียนฝึกปฏิบัติ
งานประดิษฐ์แบบไทย ๆ",อ.รัชดาวัลย์,1,20,-,,,✔,✔,,,,
ง22268,พฤกษาพาสนุก,1,2,"ศึกษาองค์ประกอบและหน้าที่ของพืช  ปฏิบัติการทางด้านพฤกษศาสตร์เบื้องต้น  และการใช้ประโยชน์จากพืชที่
หลากหลาย",อ.โมริสา,1,25,-,,,✔,✔,,,,
ง20274,รู้ช่างไว้ใช้งานได้,1,2,เรียนรู้การใช้เครื่องมือช่างทั้งที่เป็น Hand tools และ Electric tools เพื่อใช้ในการสร้างชิ้นงาน อาทิ งานไม้ งานประปา งานปูน ,ผศ. ดร.นาถวดี ,1,20,-,✔,✔,,,,,,
"กลุ่มสาระการเรียนรู้
ภาษาต่างประเทศ",,,,,,,,,,,,,,,,
อ22233,เสริมทักษะนักเรียนความสามารถสูง 3,1,2,ศึกษาภาษาอังกฤษสำหรับนักเรียนกลุ่มที่มีความสามารถทางภาษาอังกฤษสูงผ่านประสบการณ์ตรงโดยการลงมือทำ เพื่อเพิ่มพูนประสบการณ์การใช้ภาษา (Enrichment) มากขึ้น กิจกรรมจะให้นักเรียนมีโอกาสใช้ภาษาอังกฤษโดยเน้นความคิดสร้างสรรค์ การสร้างนวัตกรรม การทำงานร่วมกัน การคิดวิเคราะห์ ให้เกิด ความสุขในการเรียน (Fulfillment),"New Teacher / 
อ.สุพิสัณห์",-,25,เฉพาะนักเรียนโครงการ High-Ability,,,✔,✔,,,,
อ22235,"กิจกรรมเพิ่มพูนคำศัพท์
ภาษาอังกฤษ 3",0.5,1,"เรียนรู้คำศัพท์ภาษาอังกฤษเพิ่มเติมเป็นหมวดหมู่ตามระดับ
ความสามารถและความสนใจ ผ่านกิจกรรม เกมและการแข่งขันเก็บคะแนนประสบการณ์แต่ละสัปดาห์ เน้นการนำคำศัพท์ไปใช้งานในชีวิตประจำวันและตามความสนใจ รวมถึงศึกษา
องค์ประกอบของคำ คำความหมายคล้าย ความหมาย
ตรงกันข้าม",อ.นวล,1,35,-,,,,✔,,,,
,,,,,อ.นวล,2,35,,,,,,,,,✔
,,,,,อ.นวล,3,35,,✔,,,,,,,
อ22229,"เสริมทักษะการอ่าน
ภาษาอังกฤษ 3",0.5,1,"พัฒนาทักษะการอ่านภาษาอังกฤษผ่านกลยุทธ์และเทคนิค
การอ่านต่าง ๆ ฝึกอ่านจับใจความและการอ่านเชิงวิเคราะห์ โดยนักเรียนสามารถเลือกสื่อการอ่านได้ตามความสามารถของตนเอง ส่งเสริมการอ่านเพื่อความบันเทิงตามหัวข้อที่สนใจและการอ่านออกเสียงขั้นพื้นฐาน",อ.จารุภัทร,1,35,-,,,,,,✔,,
,,,,,อ.จารุภัทร,2,35,,,,,,✔,,,
,,,,,อ.จารุภัทร,3,35,,,,,,,,✔,
อ22231,"ภาษาอังกฤษผ่านสื่อ
โสตทัศน์ 3",0.5,1,ฝึกทักษะการฟัง/การรับชมสื่อภาษาอังกฤษในรูปแบบต่าง ๆ เช่น บทสนทนา รายการโทรทัศน์ Live Show ประกาศต่าง ๆ ภาพยนตร์ การ์ตูน เพลง ข่าว เป็นต้น ฝึกวิเคราะห์การใช้ภาษา คำศัพท์ สำนวนที่ปรากฏในสื่อหลาย ๆ ชนิด รวมไปถึงการเดาความหมายของผู้ส่งสารตามบริบทแวดล้อม (context),อ.นวล,1,35,-,,,,,✔,,,
,,,,,อ.นวล,2,35,,,,,,,,✔,
อ21210,ภาษาอังกฤษในชีวิตจริง,1,2,ศึกษาภาษาอังกฤษจากสื่อต่างๆอย่างสร้างสรรค์และสนุกสนาน,อ.อศินา,1,10,มีการทัศนศึกษาภายนอกโรงเรียน,,,✔,✔,,,,
,,,,,อ.ใหม่,2,10,,,,,,✔,✔,,
อ22237,ภาษาอังกฤษตามอัธยาศัย 1,0.5,1,มุ่งพัฒนาทักษะการใช้ภาษาอังกฤษในชีวิตประจำวันอย่างเป็นธรรมชาติ ผ่านกิจกรรมที่หลากหลาย เช่น การสนทนา การฟังเพลง การดูคลิปวิดีโอ การเล่นเกมภาษาอังกฤษ และการอ่านเรื่องสั้น เพื่อส่งเสริมทักษะการฟัง พูด อ่าน และเขียนเบื้องต้น นักเรียนจะได้ฝึกการสื่อสารในสถานการณ์ใกล้ตัว เพิ่มพูนคำศัพท์ และสร้างความมั่นใจในการใช้ภาษาอังกฤษ พร้อมทั้งปลูกฝังทัศนคติที่ดีต่อการเรียนรู้ภาษาอังกฤษ,อ.ดร.ณัฐมน,1,30,-,,,,,,,,✔
,,,,,อ.ดร.ณัฐมน,2,30,,,✔,,,,,,
