รายวิชาเพิ่มเติม ม.5  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,,,พุธ,,,พฤหัสบดี,,,,ศุกร์,,,,
,,,,,อ.ธาริณี,3,วิทย์-คณิต,35,,✔,✔,,,,,,,,,,,,✔,✔,,,
,,,,,อ.จักรกฤต ,4,วิทย์-คณิต,35,,✔,✔,,,,,,,,,,,,✔,✔,,,
ว32283,CUD-EP เคมี 3,2,4,,"T.Saba / 
อ.จักรกฤต",1,EP,10,เฉพาะนักเรียนโครงการ CUD-EP,,,,,,,,,✔,,,✔,✔,,,✔,,
ว30237,เคมี CUD  AP 1,1,2,ศึกษาและทดลองเกี่ยวกับความหมายของสารประกอบอินทรีย์และเคมีอินทรีย์ สารประกอบไฮโดรคาร์บอนการจำแนกประเภทของสารประกอบอินทรีย์ หมู่ฟังก์ชัน การเขียนสูตร การเรียกชื่อ สมบัติทางกายภาพและสมบัติทางเคมีของสารอินทรีย์ประเภทต่าง ๆ การนำไปใช้ประโยชน์และอันตรายของสารประกอบอินทรีย์บางชนิด,อ.รัฏฏิกา,1,วิทย์-คณิต,10,เฉพาะนักเรียนโครงการ CUD-AP,,,,,,,,,,,,✔,✔,,,,,
ว30212,ฟิสิกส์ 2,1.5,3,ศึกษาความรู้และทดลองเกี่ยวกับงานและพลังงาน โมเมนตัมและการชน การเคลื่อนที่ในแนวโค้ง ซึ่งได้แก่ การเคลื่อนที่แบบโพรเจกไทล์และการเคลื่อนที่แบบวงกลม รวมทั้งการเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย ,อ.พรเทพ,1,วิทย์-คณิต,35,-,✔,,,,,,,,,,,✔,✔,,,,,
,,,,,อ.น้ำฝน,2,วิทย์-คณิต,35,,✔,,,,,,,,,,,✔,✔,,,,,
,,,,,อ.พรเทพ,3,วิทย์-คณิต,35,,,,,,✔,✔,,,,✔,,,,,,,,
,,,,,อ.น้ำฝน,4,วิทย์-คณิต,35,,,,,,✔,✔,,,,✔,,,,,,,,
ว32281,CUD-EP ฟิสิกส์ 2,1.5,3,,"T.Marko / 
อ.พรเทพ",1,EP,10,เฉพาะนักเรียนโครงการ CUD-EP,,,,,,,✔,✔,,,✔,,,,,,,
ว30202,โครงงาน STEM 2,1,2,"นำประเด็นปัญหาที่ผ่านการนำเสนอเป็นโครงร่างวิจัยแล้ว 
มาลงมือทำการทดลอง วิจัยและพัฒนา หรือทำเป็นชิ้นงานต้นแบบ (Prototype) ตามโครงร่างวิจัยที่ได้ออกแบบไว้ จนได้เป็นข้อสรุปและเขียนรายงานวิจัยฉบับสมบูรณ์",อ.รัฏฏิกา ,1,วิทย์-คณิต,15,"เฉพาะนักเรียนที่ทำโครงงานสาขาเคมีจากรายวิชา 
STEM 1",,,✔,✔,,,,,,,,,,,,,,
ว30270,โคดดิง,1,2,"เรียนรู้การเขียนโปรแกรมคอมพิวเตอร์เพื่อควบคุมการทำงานของไมโครคอนโทรลเลอร์ เรียนรู้การใช้งานเซนเซอร์ต่างๆ และสามารถ สร้างชิ้นงานต้นแบบจากเทคโนโลยี IoT เพื่อแก้ปัญหาต่างๆในชีวิตประจ้าวันได้ เช่น การ ควบคุมการเปิด-ปิดอุปกรณ์เครื่องใช้ไฟฟ้าผ่านแอปพลิเคชั่นบนสมาร์ทโฟน หรือแนวคิด
แก้ปัญหาอื่นตามความสนใจของนักเรียน",อ.ธนวัฒน์,1,วิทย์-คณิต,25,-,,,,,,,,,,✔,✔,,,,,,,
ว30235,ปัญญาประดิษฐ์,1,2,ศึกษาองค์ประกอบปัญญาประดิษฐ์ (AI)  หลักการทำงานเบื้องต้นของ Machine Learning และ Deep Learning ,อ.ศิริชัย และคณะ,1,วิทย์-คณิต,18,-,,,,,,,,,,,,✔,✔,,,,,
ว32293,"ประสบการณ์ตรงกับ
ผู้เชี่ยวชาญด้านการแพทย์",1,2,เรียนรู้ประสบการณ์ตรงกับวิชาชีพแพทย์ ในสาขาต่าง ๆ เพื่อ ทำความเข้าใจกับตัวเองว่า อยากเป็นหมอจริงหรือไม่ และวางแผนอนาคตการเรียน,"อ.พญ. พิมพกา
และคณะ",1,วิทย์-คณิต,30,-,,,,,✔,✔,,,,,,,,,,,,
"กลุ่มสาระการเรียนรู้สังคมศึกษา
ศาสนาและวัฒนธรรม",,,,,,,,,,,,,,,,,,,,,,,,,,,
ส32236,เศรษฐศาสตร์สีเขียว,0.5,1,ศึกษาความรู้เบื้องต้นเกี่ยวกับเศรษฐกิจสีเขียวในเรื่องนิยามเศรษฐกิจสีเขียวในมิติต่าง ๆ ความเป็นมา กระบวนการเปลี่ยนแปลงระบบเศรษฐกิจสู่เศรษฐกิจสีเขียว การเปลี่ยนวิธีคิดและพฤติกรรมทางเศรษฐกิจ แนวทางการประกอบธุรกิจสีเขียว ประโยชน์ทางธุรกิจ การเพิ่มประสิทธิภาพเชิงนิเวศเศรษฐกิจ การพัฒนาที่ยั่งยืนในมิติต่าง ๆ,ผศ.ดร.ศรัณย์พร,1,ทุกกลุ่ม,35,-,,,,,,,,,✔,,,,,,,,,
