รายวิชาเพิ่มเติม ม.3  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,พฤหัสบดี,,ศุกร์,
พ23249,ผู้นำสุขภาพ 1,1,2,ศึกษาการเป็นผู้นำสุขภาพโดยใช้กระบวนการคิด การวิเคราะห์ การเรียนรู้จากประสบการณ์จริง การเรียนรู้ด้วยตนเอง กระบวนการกลุ่ม การอภิปรายแลกเปลี่ยนความคิดเห็น กระบวนการพัฒนาลักษณะนิสัย เพื่อให้เกิดความรู้ ความเข้าใจ รวมทั้งความสามารถในการตัดสินใจแก้ปัญหา ผ่านการเขียนแผนการสอนรูปแบบเพื่อนสอนเพื่อนหรือพี่สอนน้อง โดยใช้การเล่นเกมนันทนาการและการละเล่นแบบสากลเป็นสื่อ,อ.จารุวรรณ,1,35,-,,,,,✔,✔,,
พ23251,ฟุตบอลเพื่อความสนุกสนาน,1,2,"ศึกษาเกี่ยวกับฟุตบอลเพื่อความสนุกสนาน จัดการเรียนรู้ที่เน้นการสื่อสารกันภายในทีมอย่างสร้างสรรค์และเหมาะสม ที่อาศัยทักษะ ความสามารถในการเล่นฟุตบอลที่เคยเรียนรู้มาต่อยอด โดยใช้การฝึกในรูปแบบต่าง ๆ เพื่อการเล่นฟุตบอลเพื่อ
ความสนุกสนานที่ดี มีความรู้ความเข้าใจและเห็นคุณค่าของฟุตบอลเพื่อความสนุกสนาน สมรรถภาพทางกายที่ดี และสามารถนำความรู้ไปปฏิบัติและประยุกต์ใช้ในชีวิตประจำวันได้ ตลอดจนสามารถนำไปใช้เป็นประโยชน์ในอนาคตต่อไป",อ.พชรพล,1,25,-,,,,,✔,✔,,
พ23244,เซปักตะกร้อ,1,2,ศึกษาการจัดระเบียบร่างกาย การเคลื่อนไหว การปฏิตนตามกฎกติกา ในการร่วมกิจกรรม เกม รวมถึงการแข่งขันให้ถูกต้อง ปลอดภัย และสนุกสนานตามออกกำลังกายตามหลักการพลศึกษา โดยใช้กีฬาเซปักตะกร้อเป็นสื่อกลางในออกแบบกิจกรรม ด้วยการประยุกต์ เคลื่อนไหวที่ใช้ทักษะ พื้นฐานและทักษะกลไก,อ.ธนวิทย์,1,12,-,,,,,✔,✔,,
กลุ่มสาระการเรียนรู้ศิลปะ,,,,,,,,,,,,,,,,
ศ23220,การเขียนภาพการ์ตูนคอมมิค,1,2,"ศึกษาทฤษฎีและเทคนิคการวาดการ์ตูนคอมมิค การออกแบบตัวละคร ฉาก และเนื้อเรื่องให้สอดคล้องกัน ฝึกการเล่าเรื่องด้วยภาพ การกำหนดโครงสร้าง มุมมอง การเคลื่อนไหว และเทคนิคการผลิตงาน 2 มิติ เพื่อพัฒนาความคิดวิเคราะห์ สังเคราะห์ และสร้างสรรค์ ใช้เทคโนโลยีอย่างเหมาะสม สร้างทักษะสู่
การเป็นนักวาดการ์ตูน พร้อมปลูกฝังวินัย ใฝ่เรียนรู้ ซื่อสัตย์ และมีจิตสาธารณะ",อ.อัฐพล,1,20,"มีค่าใช้จ่ายสำหรับอุปกรณ์ไม่เกิน 500 บาท, 
มีการทัศนศึกษาภายนอกโรงเรียน",,,,,✔,✔,,
ศ20218,ศิลปะการปั้นสร้างสรรค์,1,2,"ศึกษาพื้นฐานการออกแบบและประติมากรรม พร้อมฝึกทักษะจริง เช่น การวาดภาพ ลงสี ออกแบบ และเทคนิคการปั้น
ขั้นพื้นฐาน เพื่อสร้างสรรค์ผลงานตามความถนัด ผ่านกระบวนการคิด วางแผน และลงมือปฏิบัติอย่างเป็นขั้นตอน สามารถถ่ายทอดความหมายจากผลงานอย่างมีจินตนาการ เชื่อมโยงความรู้กับศาสตร์อื่น  พัฒนาความรับผิดชอบ
ความมั่นใจ และเจตคติที่ดีต่อศิลปะ",อ.ดร.อติญา,1,7,"มีค่าใช้จ่ายสำหรับอุปกรณ์ไม่เกิน 500 บาท, 
มีการทัศนศึกษาภายนอกโรงเรียน",,,,,✔,✔,,
ศ20233,ปฏิบัติการวงโยธวาทิตขั้นสูง,1,2,ศึกษาการบรรเลงเครื่องดนตรีที่ใช้ในวงโยธวาทิตของโรงเรียน ในระดับมาตรฐานสากล,อ.สุปัฏฐ์,1,10,"เฉพาะนักเรียนวงโยธวาทิตที่ผ่าน
การคัดเลือก และเรียนรวม
ม.1-3",,,,,✔,✔,,
ศ20207,ทักษะการเต้นบัลเลต์พื้นฐาน 1,1,2,"ศึกษาพื้นฐานการเต้นบัลเลต์ซึ่งเป็นพื้นฐานที่ดีในการพัฒนาไปสู่การเต้นในรูปแบบอื่นๆ ฝึกฝนทักษะพื้นฐานในการเต้นบัลเลต์ (ระดับต้น) การจัดระเบียบร่างกาย เรียนรู้ศัพท์เทคนิคทาง
บัลเลต์",อ.ธนิฏฐา,1,8,"เรียนรวม
ม.1-3",,,,,✔,✔,,
กลุ่มสาระการเรียนรู้การงานอาชีพ,,,,,,,,,,,,,,,,
ง23268,สาธิตจุฬาฯ นักคิด นักสร้าง,1,2,"เรียนรู้และฝึกทักษะงานช่างแขนงวิชาต่างๆ งานเขียนแบบ 
งานไม้ งานโลหะ งานออกแบบโดยใช้เทคโนโลยี การสร้างชิ้นงานต้นแบบ ประดิษฐกรรม หรือนวัตกรรม บนฐานความรู้ทางงานช่างและความต้องการของสังคมที่มีความเปลี่ยนแปลงเป็นพลวัต",อ.พริ้วฝน,1,20,-,,,✔,✔,,,,
,,,,,,2,20,,✔,✔,,,,,,
ง23271,ปรุงดี มีสุข,1,2,"ศึกษาความรู้เกี่ยวกับวัตถุดิบ การจัดการและการใช้วัตถุดิบ
อย่างรู้คุณค่า มุ่งเน้นการฝึกปฏิบัติการประกอบอาหาร เพื่อเสริมสร้างสุขภาพที่ดีซึ่งเป็นเทรนด์อาหารแห่งอนาคต ที่สังคมปัจจุบันให้ความใส่ใจเรื่องสุขภาพกันมากขึ้น ส่งเสริมให้นักเรียน
นำความรู้และทักษะไปใช้ในชีวิตประจำวันได้อย่างเหมาะสม",อ.ดร.อริสา,1,20,-,✔,✔,,,,,,
