รายวิชาเพิ่มเติม ม.6  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,,,,อังคาร,,,,,พุธ,,,,,พฤหัสบดี,,ศุกร์,,,,
,,,,,อ.วรรณา,3,วิทย์-คณิต,35,,,,,,,,,,,,✔,✔,,,,,,✔,,,,
,,,,,อ.วรรณา,4,วิทย์-คณิต,35,,,,,,,,,✔,,,,,,,,,,,✔,✔,,
ว33257,ตะลุยโจทย์เคมี,1,2,ทบทวนเนื้อหาวิชาเคมีพื้นฐานและเคมีเพิ่มเติม ผ่านการทำโจทย์ทดสอบ โดยใช้โจทย์ทดสอบเคมีระดับประเทศ ทั้งที่เป็นโจทย์ภาษาไทยและภาษาต่างประเทศ เพื่อเตรียมความพร้อมสำหรับสอบเข้ามหาวิทยาลัยในหลักสูตรต่าง ๆ,อ.ธาริณี,1,วิทย์-คณิต,35,-,,,,,,✔,✔,,,,,,,,,,,,,,,
,,,,,อ.ธาริณี,2,วิทย์-คณิต,35,,,,,,,,,,,,✔,✔,,,,,,,,,,
ว30204,ปฏิบัติการเคมี,1,2,"ศึกษาและปฏิบัติการทดลองทางเคมีที่เกี่ยวของกับปฏิบัติการ
ทางเคมีในระดับชั้นมัธยมศึกษาตอนปลายและพื้นฐานการปฏิบัติการทดลองที่จำเป็นสำหรับการศึกษาต่อในระดับมหาวิทยาลัย เช่น การไทเทรต กรด-เบส การเตรียมแก๊สออกซิเจน การเตรียมแก๊สคลอรีน การเตรียมสารประกอบออกไซด์และสารประกอบคลอไรด์ ปฏิบัติการทดลองทางไฟฟ้าเคมี และการนำไปใช้ประโยชน์ ปฏิกิริยาเอสเทอริฟิเคชัน ปฏิกิริยาสะปอนนิฟิเคชันและปฏิกิริยาไฮโดรไลซีส เป็นต้น",อ.พรพรหม,1,วิทย์-คณิต,25,-,,,,,,,,,✔,✔,,,,,,,,,,,,
,,,,,อ.พรพรหม,2,วิทย์-คณิต,25,,,,,,,,,,,,✔,✔,,,,,,,,,,
ว30289,กิจกรรมชีววิทยา 1,1,2,"ศึกษาชีววิทยาและวิธีการทางวิทยาศาสตร์รวมทั้งกิจกรรม
สะเต็มศึกษา เพื่อใช้ในการแก้ปัญหาในชีวิตจริงผ่านการทำกิจกรรม และปฏิบัติการที่เกี่ยวข้องกับชีววิทยา เช่น การศึกษาสิ่งมีชีวิตโดยใช้กล้องจุลทรรศน์ในการหาขนาดจริงของวัตถุและศึกษาความหลากหลายของสิ่งมีชีวิตขนาดเล็กด้วยเทคนิค
การย้อมแกรม ปฏิบัติการโครงสร้างอวัยวะและเนื้อเยื่อของ
สิ่งมีชีวิต การเก็บรักษาเนื้อเยื่อทางชีวภาพเพื่อใช้ในการศึกษาวิจัย และเรียนรู้การทำงานของนักชีววิทยาในแขนงต่าง ๆ พร้อมทั้งวิธีการสื่อสารความรู้ที่ได้จากการศึกษา ข้อค้นพบ
ต่าง ๆ ให้บุคคลทั่วไปเข้าใจได้โดยง่าย การนำความรู้และ
หลักการไปใช้อธิบายปรากฏการณ์หรือแก้ปัญหาใน
ชีวิตประจำวันได้",อ.ศุจิกา,1,วิทย์-คณิต,25,-,,,,,,,,,,,,,,,,,,,✔,✔,,
ว30223,ไมโครคอนโทรลเลอร์,1,2,"ศึกษาและปฏิบัติเกี่ยวกับโครงสร้างและหลักการทำงานของไมโครคอนโทรลเลอร์ การสั่งงานด้วยภาษาคอมพิวเตอร์ 
เรียนรู้โครงสร้างชุดคำสั่ง ปฏิบัติการต่อวงจรและการเชื่อมต่อกับอุปกรณ์อิเล็กทรอนิกส์พื้นฐาน ",ผศ. ดร.ชยการ,1,วิทย์-คณิต,20,-,,✔,✔,,,,,,,,,,,,,,,,,,,
ว30224,เทคโนโลยีทางการแพทย์,1,2,ศึกษาการประยุกต์ใช้เทคโนโลยีการแพทย์ในสาขาต่าง ๆ เช่น เทคโนโลยีการวินิจฉัยโรค เทคโนโลยีการรักษาและการผ่าตัด เทคโนโลยีชีวภาพและเภสัชกรรม เทคโนโลยีการแพทย์แม่นยำ,อ.พญ.พิมพกา / และคณะ,1,วิทย์-คณิต,30,-,,,,,,,,,,,,,,,,✔,✔,,,,,
ว30220,วัสดุวิศวกรรมในชีวิตประจำวัน,1,2,ศึกษาความรู้พื้นฐานทางวัสดุวิศวกรรมผ่านสิ่งของต่างๆที่พบเห็นในชีวิตประจำวันเพื่อเป็นพื้นฐานในการนำไปประยุกต์ใช้ในงานวิศวกรรมสาขาต่างๆในอนาคต,รศ. ดร.ปฐมา ,1,วิทย์-คณิต,30,-,,,,,,,,,✔,✔,,,,,,,,,,,,
