รายวิชาเพิ่มเติม ม.4  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,,อังคาร,,พุธ,,,พฤหัสบดี,,,,ศุกร์,,,
พ30219,การสร้างเสริมสมรรถภาพทางกลไก,1,2,"ความรู้ ความเข้าใจ เกี่ยวกับระบบต่าง ๆ ของร่างกายที่มีต่อ
การออกกำลังกาย จนนำมาสู่การนำความรู้ไปใช้ใน
การออกกำลังกายเพื่อสร้างเสริมสมรรถภาพทางกายของตนเองได้",อ.ฮานาฟีย์,1,วิทย์-คณิต,25,-,,,,,,,,,,,✔,✔,,,,
พ30225,"จิตวิทยาการกีฬาและ
การออกกำลังกาย",1,2,"ศึกษาหลักการและทฤษฎีทางจิตวิทยาการกีฬาและ
การออกกำลังกาย องค์ประกอบทางจิตวิทยาที่มีผลต่อ สภาพจิตใจของผู้ออกกำลังกายและนักกีฬา ความใส่ใจทางการกีฬา ความวิตกกังวล แรงกระตุ้นในการเล่นกีฬาและ
การออกกำลังกาย แรงจูงใจในการกีฬาและการออกกำลังกาย ความก้าวร้าวในการกีฬาและ การออกกำลังกาย ตลอดจนสามารถนำความรู้ที่ได้ไปประยุกต์ใช้ในการเล่นกีฬาหรือ
การออกกำลังกายได้ในชีวิตประจำวัน""",อ.สุพัฒน์พงศ์,1,ทุกกลุ่ม,25,-,,,,,,,,,,,,,,,✔,✔
พ30262,ฮอกกี้ขั้นสูง 1 ,1,2,"ศึกษาและฝึกปฏิบัติทักษะเฉพาะทางระดับสูง เพื่อพัฒนานักเรียนสู่ระดับนักกีฬาฮอกกี้กึ่งอาชีพ โดยเน้นการฝึกทักษะ
ขั้นสูง การอ่านเกมเชิงลึก และการเตรียมความพร้อมทาง
ด้านร่างกายและจิตวิญญาณสำหรับการแข่งขัน",อ.ฉฏาธร,1,ทุกกลุ่ม,25,-,,,,,,,,,,,✔,✔,,,,
กลุ่มสาระการเรียนรู้ศิลปะ,,,,,,,,,,,,,,,,,,,,,,,,,
ศ30239,จิตรกรรมสีน้ำมัน,1,2,"ศึกษากระบวนการสร้างงานจิตรกรรมสีน้ำมัน เครื่องมือ วัสดุอุปกรณ์ คุณสมบัติ และเทคนิคต่าง ๆ พร้อมฝึกปฏิบัติเลือกใช้ได้อย่างเหมาะสม พัฒนากระบวนการคิดวิเคราะห์และสร้างสรรค์อย่างเป็นระบบ ถ่ายทอดความรู้ผ่านผลงานศิลปะ ใช้เทคโนโลยีอย่างเหมาะสม มีทักษะการตัดสินใจและเรียนรู้ด้วยตนเองอย่างต่อเนื่อง สามารถประยุกต์ใช้ใน
ชีวิตประจำวันได้",อ.อัฐพล,1,ทุกกลุ่ม,15,"มีค่าใช้จ่ายสำหรับอุปกรณ์ 1,000-2,000 บาท, มีการทัศนศึกษาภายนอกโรงเรียน",,,,,,✔,✔,,,,,,,,,
ศ30243,ทฤษฎีดนตรีไทย,1,2,"ศึกษาสังคีตลักษณ์ของบทเพลง ประวัติคีตกวี ประวัติและวรรณคดีที่เกี่ยวข้องกับดนตรีไทย ทฤษฎี พิธีกรรม และบริบทดนตรีไทยในสังคม และนำเสนอความรู้ผ่านการปฏิบัติดนตรีไทยผ่านการเรียนแบบบรรยาย การแลกเปลี่ยนเรียนรู้ และ
การทำงานร่วมกัน รวมถึงการสืบค้นข้อมูลด้วยตนเอง และการได้ลงมือปฏิบัติเครื่องดนตรี เพื่อให้เกิดความเข้าใจหลักการและรูปแบบสังคีตลักษณ์ของบทเพลง วรรณคดี และประวัติศาสตร์ด้านดนตรี  เพื่อต่อยอดองค์ความรู้ในเชิงลึกด้านดนตรีไทย และสามารถนำไปประยุกต์ใช้ได้อย่างเข้าใจ และนำเสนอในรูปแบบวิชาการได้เหมาะสม",อ.ภูวิศ,1,ทุกกลุ่ม,25,-,,,,,,✔,✔,,,,,,,,,
ศ30219,ทักษะดนตรีไทยขั้นต้น,1,2,ศึกษาพื้นฐานดนตรีไทย ได้แก่ ประเภทและลักษณะเครื่องดนตรี การอ่านเขียนโน้ตไทย การฟังและวิเคราะห์องค์ประกอบดนตรี ฝึกทักษะบรรเลงรายบุคคล พัฒนาเทคนิคควบคุมจังหวะ น้ำหนักเสียง และความถูกต้อง ฝึกบรรเลงรวมวงอย่างเป็นระบบ เพื่อนำเสนอผลงานอย่างเหมาะสม ปลูกฝังเจตคติที่ดีต่อศิลปวัฒนธรรมไทย และประยุกต์ใช้ทักษะดนตรีไทยในชีวิตหรืออาชีพได้อย่างเหมาะสม,อ.สโรชา,1,ทุกกลุ่ม,7,"เรียนรวม
ม.4-6",,,,,,,,,,,✔,✔,,,,
ศ30213,ปฏิบัติการวงเชมเบอร์เบื้องต้น,1,2,ศึกษาการบรรเลงเครื่องดนตรีที่ใช้ในวงโยธวาทิตของโรงเรียน ในระดับมาตรฐานสากล,อ.สุปัฏฐ์,1,ทุกกลุ่ม,7,"เรียนรวม
ม.4-6, เฉพาะนักเรียน
วงโยธวาทิตที่ผ่าน
การคัดเลือก",,,,,,,,,,,✔,✔,,,,
ศ30201,เปิดโลกอาร์ตแล็บ,1,2,"ศึกษาและสร้างสรรค์ศิลปะผ่านกิจกรรมที่ใช้วัสดุและเทคนิคหลากหลาย ฝึกการคิด ออกแบบ และพัฒนาทักษะศิลปะ 
รวมถึงศิลปะดิจิทัล ผ่านการทำโปรเจกต์ตามความถนัดและความสนใจ",อ.วนาลี,1,ทุกกลุ่ม,7,"เรียนรวม
ม.4-6, มีค่าใช้จ่ายสำหรับอุปกรณ์ 500-1,000 บาท, มีการทัศนศึกษาภายนอกโรงเรียน",,,,,,,,,,,✔,✔,,,,
ศ30207,ออกแบบงานศิลปะสร้างสรรค์,1,2,"ศึกษาและทำความเข้าใจพื้นฐานแนวคิดด้านการออกแบบงานศิลปะสร้างสรรค์ ตั้งแต่หลักทัศนธาตุ องค์ประกอบศิลป์ ไปจนถึงการประยุกต์ใช้แนวคิดในการสร้างสรรค์ชิ้นงานต้นแบบ 
ผู้เรียนจะได้ฝึกกระบวนการคิดเชิงสร้างสรรค์ การพัฒนาแนวคิด และการถ่ายทอดความหมายผ่านรูปแบบงานออกแบบ  ที่หลากหลาย เช่น งานภาพประกอบ งานออกแบบเชิงทดลอง งานออกแบบวัตถุ หรือผลงานสื่อผสม",อ.อัฐพล,1,ทุกกลุ่ม,7,"เรียนรวม
ม.4-6, มีค่าใช้จ่ายสำหรับอุปกรณ์ 500-1,000 บาท, มีการทัศนศึกษาภายนอกโรงเรียน",,,,,,,,,,,✔,✔,,,,
