รายวิชาเพิ่มเติม ม.1  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,จันทร์,พุธ,พุธ,พฤหัสบดี,พฤหัสบดี,ศุกร์,ศุกร์
พ20231,บาสเกตบอลขั้นต้น 1,1,2,ศึกษาหลักการและวิธีการเล่นบาสเกตบอลตามความสามารถของตนเอง การเคลื่อนไหวที่ใช้ทักษะทางกลไกและทักษะพื้นฐานที่นำไปสู่การพัฒนาตามชนิดกีฬา และนำหลักความรู้ที่ได้ไปเชื่อมโยงสัมพันธ์กับวิชาอื่น ความสำคัญของการออกกำลังกายและเล่นกีฬา จนมีวิถีชีวิตที่มีสุขภาพดี ออกกำลังกายและเลือกเข้าร่วมเล่นกีฬา พร้อมทั้งมีการประเมินการเล่นของตนเองและผู้อื่น ปฏิบัติตามกฎ กติกา ร่วมมือในการเล่นกีฬาและการทำงานเป็นทีมอย่างสนุกสนาน การมีน้ำใจนักกีฬา และมีสมรรถภาพทางกายที่ดี,อ.ฮานาฟีย์,1,25,-,,,,,,,✔,✔
พ20245,ว่ายน้ำขั้นต้น 1,1,2,"ศึกษาความรู้ทั่วไปเกี่ยวกับประวัติความเป็นมา ประโยชน์ของการว่ายน้ำ  ระเบียบกติกา มารยาท ทักษะการลอยตัว  
การเคลื่อนไหวในน้ำ  การมีทักษะพื้นฐานของการว่ายน้ำอย่าง
ถูกต้อง  รู้วิธีการฝึกทักษะแบบต่าง ๆ ตามลำดับขั้น สามารถแนะนำผู้อื่นและนำไปใช้ในการออกกำลังกายได้",อ.ดร.ธานินทร์ ,1,10,-,,,,,,,✔,✔
พ20250,ฮอกกี้ขั้นต้น 1 ,1,2,ศึกษาและออกกำลังกายผ่านการเล่นกีฬาฮอกกี้ ได้ฝึกทักษะกีฬาฮอกกี้ ประเภทในร่ม เรียนรู้กติกาการแข่งขันกีฬาฮอกกี้ในร่ม สามารถนำทักษะการทำงานร่วมกับผู้อื่นมาปรับใช้ในชีวิตประจำวัน มีสุขภาพกาย และจิตใจที่สมบูรณ์ รู้จักใช้เวลาว่างให้เป็นประโยชน์,อ.ฉฏาธร,1,25,-,✔,✔,,,,,,
พ20225,เทเบิลเทนนิสขั้นต้น 1,1,2,ศึกษาทักษะเบื้องต้นต่างๆในกีฬาเทเบิลเทนนิส รวมทั้งกฎกติกา การแข่งขัน เพื่อเป็นพื้นฐานในการเล่นกีฬาเทเบิลเทนนิสในระดับสูงต่อไป,อ.ดร.ชญาภัสร์ ,1,20,-,,,,,✔,✔,,
พ20239,ฟุตบอลขั้นต้น 1,1,2,"ศึกษาความรู้ทั่วไปของกีฬาฟุตบอล ประวัติ ประโยชน์ กฎ กติกา ระเบียบ มารยาทของกีฬาฟุตบอล และวิธีการเล่น 
การสร้างความคุ้นเคยกับลูกฟุตบอล การเลี้ยงลูก การส่งลูก การรับลูก การครอบครองลูก การยิงประตู และการเล่นทีม",อ.พชรพล,1,25,-,,,,,,,✔,✔
พ20233,แบดมินตันขั้นต้น 1,1,2,"ศึกษาความรู้พื้นฐานเกี่ยวกับกีฬาแบดมินตัน ประวัติ 
ความเป็นมา ประโยชน์ กติกา และมารยาทในการเล่นกีฬา ฝึกการดูแลรักษาอุปกรณ์ และพัฒนาทักษะพื้นฐานในการจับไม้ การตีลูก และการเคลื่อนไหวในสนาม เพื่อเสริมสร้างสมรรถภาพทางกาย วินัย ความปลอดภัย และน้ำใจนักกีฬา",อ.วชิรวิทย์,1,20,-,,,,,✔,✔,,
พ20216,ซอฟท์บอลขั้นต้น 1,1,2,ศึกษาความรู้พื้นฐานเกี่ยวกับกีฬาซอฟท์บอล ประวัติความเป็นมา ประโยชน์ ระเบียบ กติกา และมารยาทในการเล่นกีฬา ฝึกการดูแลรักษาอุปกรณ์ และพัฒนาทักษะพื้นฐานในการตีลูกซอฟท์บอลเบื้องต้น เพื่อส่งเสริมสมรรถภาพทางกาย วินัย ความปลอดภัย และน้ำใจนักกีฬา,อ.สุพัฒน์พงศ์,1,25,-,✔,✔,,,,,,
กลุ่มสาระการเรียนรู้ศิลปะ,,,,,,,,,,,,,,,,
ศ20221,วาดเส้นพื้นฐาน,1,2,ศึกษาและปฏิบัติการวาดเส้นพื้นฐาน การขึ้นรูปและโครงสร้างวัสดุ การลงแสงเงา  ระยะต่างๆของวัสดุ การกำหนดและจัดสัดส่วนภาพ โดยใช้ดินสอและสื่อวัสดุอุปกรณ์ที่หลากหลายในการลงน้ำหนัก,ผศ.พัชริน,1,17,-,,,✔,✔,,,,
ศ20202,การบรรเลงปี่พาทย์ขั้นนำ,1,2,ศึกษาการบรรเลงดนตรีไทย ประเภทวงปี่พาทย์เบื้องต้น ตั้งแต่หลักการจับไม้ บุคลิกภาพในการบรรเลง และทักษะการบรรเลงดนตรีไทย ผ่านการเรียนแบบลงมือปฏิบัติ การร่วมมือกันระหว่างผู้เรียน และการศึกษาผ่านการสาธิต เพื่อให้เกิดความเข้าใจในการบรรเลงและสามารถใช้หลักการการบรรเลงดนตรีไทย ประเภทวงปี่พาทย์ได้อย่างถูกต้องเหมาะสม,อ.ภูวิศ,1,20,-,✔,✔,,,,,,
